레시피명,전처리된 식재료
초계탕,식초 소금 양파 설탕 대파 파프리카 오이 닭고기 마늘 겨자
콩나물부추볶음,소금 양파 파 당근 콩나물 감자 식용유 부추
콩비지포카치아 샌드위치,장아찌 치즈 토마토 빵
파프리카더덕소고기깻잎롤,식초 소고기 소금 양파 레몬 파프리카 깻잎 파인애플 더덕
해물아란치니,소금 새우 오징어 양파 토마토 레몬 밥 마늘 달걀 빵가루
호박잎삼계,찹쌀 소금 인삼 닭고기 미나리 대추
노른자크림 육회샐러드,아보카도 소고기 소금 설탕 두릅 배 레몬 참기름 마늘 달걀 홍두깨
닭고기 완자삼계죽,찹쌀 간장 양파 인삼 닭고기 마늘 대파 대추
대하마늘볶음밥,생강 고추 식용유 파 간장 양파 쌀 대하 깻잎 마늘 숙주 대추
두부 카프리제,소고기 소금 돼지고기 설탕 연근 표고버섯 두유 깻잎 마늘 간장
미역볶음밥,강황 양파 당근 쌀 닭고기 수삼 대추
청국장볶음밥,다시마 양파 고구마 시금치 당근 들기름 연근 감자 참나물 쌀 깻잎 마늘 우엉 현미 미나리
해물볶음밥,문어 새우 쌀 달걀 우엉 고추장 미나리 주꾸미
토마토카레 채소볶음밥,카레 요구르트 피망 양파 브로콜리 당근 방울토마토 토마토 닭 파프리카 밥 감자 플레인요거트
구운주먹밥,식초 설탕 참기름 밥 달걀 현미 참깨
깐풍주먹밥,찹쌀 식초 새우 설탕 참기름 파인애플 고추 마늘 밀가루 부추 쇠고기
닭봉주먹밥,우유 가지 치즈 마요네즈 당근 양파 참기름 밥 호박 새싹 간장 참깨
봄주먹밥,당근 밥 고추 된장 두릅 물 참기름 낙지 두부 미나리 고춧가루 참깨 양파 청양고추 깻잎 마늘 꼬막
깻잎장아찌롤,양파 장아찌 마요네즈 설탕 물 머스터드 참기름 밥 허브 깻잎 드레싱 새싹 피클 김 참깨
참치비빔밥롤,식초 로즈마리 가지 당근 토마토 사과 고추 참치 호박 드레싱 달걀 김 케일
새싹참치김밥,간장 마요네즈 설탕 파프리카 파인애플 밥 참치 달걀 새싹 김
연어주먹밥튀김,식초 간장 통조림 양파 피망 마요네즈 당근 어린잎채소 밥 연어 빵가루 달걀 마늘 참깨
오징어불고기김밥,피망 오징어 당근 매실 파프리카 밥 참기름 깻잎 달걀 김 고추장 쇠고기
닭가슴살청포묵비빔밥,소금 닭 참기름 된장 쌀 닭고기 달걀 마늘 숙주 지단 양배추 간장
족발수육,맥주 백김치 가지 고구마 참기름 족발
함초떡갈비,통깨 소금 소고기 돼지고기 양파 당근 식초 설탕 후추 참기름 마늘 대파
삼색소면,쪽파 소금 소면 청주 고추 마늘
돼지수육맑은전골,식초 배추 팽이버섯 당근 물 겨자 된장 청경채 마늘 대파 숙주 청양고추
채소비빔밥,양파 파 후추 당근 물 바지락 참기름 오이 깻잎 마늘 두부 쇠고기 표고버섯
열무김치파스타,파스타면 통깨 열무김치 양파 당근 들기름 오이 고추 파프리카 청양고추
해초갈비찜,당근 생강 고추 메추리알 미역 참기름 간장 갈비 양파 감자 대파 후추 마늘 대추
버섯곤드레밥,참기름 고추 쌀 된장 마늘 대파 두부 느타리버섯
바다향이 풍부한 전복죽,찹쌀 미역 후추 당근 청주 참기름 전복
주꾸미연포탕,양파 후추 고추 마늘 대파 청양고추 주꾸미 미나리
함초소고기말이,식초 소금 양파 식용유 버섯 파프리카 고추 허브 마늘 겨자 간장
묵계밥,소금 양파 후추 버섯 닭 계란 콩나물 마늘 대파 묵 간장 도토리묵
근채류주먹밥,통깨 양파 당근 식용유 연근 오이 감자 고추 쌀 참기름 우엉 마늘 간장
단호박약식,찹쌀 계피 밤 참기름 블루베리 간장 대추
달콤스테이크,소금 양파 시금치 후추 당근 설탕 감자 버터 망고 딸기
삼색샌드위치,소금 양파 치즈 당근 토마토 오이 감자 식빵 달걀
황태탕수육,식초 설탕 당근 튀김 물 식용유 파프리카 오이 밀가루 간장 녹말 양파 파인애플 달걀 황태
밥핫도그,계란 소금 식용유 튀김 파프리카 밥 감자 소시지 달걀 빵가루 밀가루
스테이크카나페,로즈마리 소금 양파 가지 설탕 사과 등심 파프리카 마늘
꽃밥,통깨 소금 돼지고기 양파 고구마 설탕 당근 시금치 토마토 참기름 달걀 마늘 쌀 대파 두부 간장
버섯만두찜,우유 두부 소금 새우 양파 시금치 물 표고버섯 호박 마늘 식용유 밀가루
떡갈비주먹밥,떡 돼지고기 양파 시금치 떡볶이떡 당근 밥 마늘 식용유 대파 간장
홍합죽,홍합 다시마 새우 양파 당근 표고버섯 참기름 쌀
샐러드돈가스,우유 소금 마요네즈 방울토마토 식용유 등심 어린잎채소 튀김 돼지 달걀 빵가루 정종 밀가루 파슬리 피클
조개크림파스타,우유 소금 새우 양파 조개 스파게티면 양송이버섯 물 버터 마늘 밀가루 파슬리
닭날개튀김,오렌지 카레 양파 마요네즈 레몬 식용유 튀김 땅콩
해산물리조또,우유 소금 새우 오징어 양파 시금치 당근 치즈 조개 다시마 버터 마늘 대파 파슬리
떡완자조림,떡 돼지고기 양파 떡볶이떡 당근 참기름 마늘 식용유 대파 쇠고기 간장
닭고기채소스파게티,양파 케첩 스파게티면 양송이버섯 당근 표고버섯 토마토 파프리카 닭고기 마늘
계만두,우유 간장 배추 피망 당근 표고버섯 닭 오이 참기름 마늘 대파 메추리알 청양고추 참깨
삼계선,설탕 닭 파프리카 수삼 두부 대추
쇠고기표고찜,오렌지 두부 양파 표고버섯 잣 파프리카 밀가루 달걀 마늘 대파 주스 피클 쇠고기 대추
떡갈비찜,간장 고기 돼지고기 양파 가지 파 소금 연근 참기름 마늘 가래떡 쇠고기
해산물두부샌드,두부 새우 두유 파프리카 드레싱 새싹
단호박제육볶음,표고버섯 된장 물 참기름 고춧가루 간장 참깨 양파 불고기 대파 돼지고기 죽순 마늘 고추장
버섯콩불고기,설탕 당근 배 표고버섯 생강 양배추 부추 파 참기름 미나리 양파 콩고기 들기름 청양고추 느타리버섯 깻잎 마늘
차돌박이볶음,식초 고기 차돌박이 양파 마요네즈 설탕 배 해초 매실 파프리카 겨자 부추 간장
